"sid","bitonicID","studentName","pwd","username","email","contactNo","active","studentID","std","img","fees","section","schoolID","rollno","dob"
54,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q114","Dani","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","dani@1234","dani@gmail.com","8104608900",0,"bitonic@stu-a9df9ba07826","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unPaid","A","bitonic@admin-va1238","2","1995-05-16T18:30:00.000Z"
55,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q115","Aaditya","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","aaditya@1234","aaditya@gmail.com","8104608903",0,"bitonic@stu-a9df9ba07827","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unpaid","A","bitonic@admin-va1238","3","2024-02-22T18:30:00.000Z"
56,"bitonic@stu-a9df9bca-a079-4b10-a7d6-coco372064Q1212","Aarya","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","aarya@1234","aarya@gmail.com","8104608906",0,"bitonic@stu-a9df9ba07828","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unPaid","A","bitonic@admin-va1238","4","2024-06-19T18:30:00.000Z"
57,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q115","Abhay","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abhay@1234","abhay@gmail.com","8104608909",0,"bitonic@stu-a9df9ba07829","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unpaid","A","bitonic@admin-va1238","5","2024-09-24T18:30:00.000Z"
58,"bitonic@stu-a9df9bca-a079-4b10-a7d1-cc@72066Q11123","Abhijeet","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abhay@1234","abhijeet@gmail.com","8104608912",0,"bitonic@stu-a9df9ba07830","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unPaid","A","bitonic@admin-va1238","6","2024-11-14T18:30:00.000Z"
59,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q115","Abhinandan","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abhinandan@1234","abhinandan@gmail.com","8104608915",0,"bitonic@stu-a9df9ba07831","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unpaid","A","bitonic@admin-va1238","7","2024-12-18T18:30:00.000Z"
60,"bitonic@stu-a9df9bca-a079-4b10-a7d2-172068Q23","Abhinay","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abhinay@1234","abhinay@gmail.com","8104608918",0,"bitonic@stu-a9df9ba07832","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unPaid","A","bitonic@admin-va1238","8","2000-02-22T18:30:00.000Z"
61,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q115","Abhishek","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abhishek@1234","abhishek@gmail.com","8104608921",0,"bitonic@stu-a9df9ba07833","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unpaid","A","bitonic@admin-va1238","9","2000-04-07T18:30:00.000Z"
62,"bitonic@stu-a9df9bca-a079-4b10-a7d7-cc@72061Q11123","Abimanyu","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","abiay@1234","abimanyu@gmail.com","8104608924",0,"bitonic@stu-a9df9ba07834","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unPaid","A","bitonic@admin-va1238","10","2000-07-30T18:30:00.000Z"
63,"bitonic@stu-a9df9bca-a079-4b10-a8d8-cc272065Q115","Aditya","$2b$10$nTAam5mE/y44x8o6G3yFT.O3ZV73/NgFeVMAOZ5hIKwvcKbR1lUo2","aditya@1234","aditya@gmail.com","8104608927",0,"bitonic@stu-a9df9ba07835","SYBSCIT","https://pbs.twimg.com/media/EkMx6QPXsAA1Dfn.jpg","unpaid","A","bitonic@admin-va1238","11","2000-08-20T18:30:00.000Z"
